date,"All soft drinks, 12 pk, 12 oz., cans, per 12 oz.","All soft drinks, per 2 liters","All uncooked ground beef, per lb.","Bacon, sliced, per lb.","Bananas, per lb.","Bread, white, pan, per lb.","Bread, whole wheat, pan, per lb.","Butter, stick, per lb.","Cheddar cheese, natural, per lb.","Chicken legs, bone-in, per lb.","Chicken, fresh, whole, per lb.","Chops, boneless, per lb.","Chuck roast, USDA Choice, boneless, per lb.","Coffee, 100%, ground roast, all sizes, per lb.","Ham, boneless, excluding canned, per lb.","Lettuce, iceberg, per lb.","Lettuce, romaine, per lb.","Orange juice, frozen concentrate, 12 oz. can, per 16 oz.","Oranges, Navel, per lb.","Potatoes, white, per lb.","Round roast, USDA Choice, boneless, per lb.","Spaghetti and macaroni, per lb.","Steak, round, USDA Choice, boneless, per lb.","Tomatoes, field grown, per lb.","Yogurt, per 8 oz."
2025-01-01,0.582,2.093,5.820,7.044,0.621,1.925,2.760,4.912,5.698,1.791,2.061,4.530,7.694,7.019,5.476,1.618,2.831,4.480,1.531,0.973,7.270,1.366,8.280,2.050,1.489
2025-02-01,0.572,2.101,5.961,6.798,0.619,1.925,2.759,4.869,5.536,1.792,2.051,4.558,8.104,7.246,5.520,1.522,2.865,4.492,1.536,0.957,7.490,1.381,8.485,1.848,1.515
2025-03-01,0.583,2.103,6.137,6.978,0.625,1.880,2.719,4.816,5.737,1.805,2.064,4.771,8.097,7.385,5.603,1.465,2.923,4.482,1.484,0.950,7.557,1.379,8.554,1.819,1.520
2025-04-01,0.581,2.104,6.142,7.009,0.635,1.913,2.751,4.780,5.743,1.789,2.059,4.609,7.980,7.536,5.473,1.515,2.915,4.440,1.485,0.967,7.616,1.361,8.627,1.793,1.538
2025-05-01,0.558,2.129,6.245,6.985,0.655,1.876,2.602,4.952,5.908,1.785,2.061,4.601,7.875,7.931,5.453,1.438,2.994,4.429,1.564,0.958,7.570,1.322,8.401,1.705,1.577
2025-06-01,0.579,2.183,6.342,7.098,0.654,1.864,2.656,4.872,5.999,1.815,2.086,4.618,8.197,8.132,5.379,1.378,2.951,4.493,1.633,0.981,7.762,1.318,8.457,1.737,1.494
2025-07-01,0.565,2.199,6.504,7.118,0.657,1.851,2.714,4.797,6.041,1.799,2.078,4.691,8.439,8.414,5.685,1.579,3.006,4.641,,0.978,7.909,1.306,8.690,1.793,1.556
2025-08-01,0.567,2.208,6.631,7.208,0.666,1.841,2.684,4.828,6.123,1.797,2.076,4.688,8.845,8.872,5.432,1.673,,4.670,1.795,1.001,8.130,1.294,9.076,1.925,1.495
2025-09-01,0.569,2.234,6.643,7.290,0.670,1.867,2.775,4.787,6.049,1.796,2.061,4.748,9.232,9.139,5.478,1.731,,4.736,1.803,1.014,8.506,1.205,9.360,1.910,1.533
2025-10-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-01,0.549,2.093,6.781,6.928,0.664,1.790,2.638,4.310,5.636,1.795,2.044,4.391,9.343,9.258,5.462,1.987,3.399,4.806,,,8.943,1.300,9.665,1.828,1.556
2025-12-01,0.548,1.975,6.821,6.760,0.656,1.833,2.677,4.408,5.789,1.725,2.020,4.671,8.951,9.053,5.356,,3.466,4.821,1.570,0.847,8.853,1.311,9.875,1.840,1.518
2026-01-01,0.611,2.115,6.868,6.978,0.653,1.843,2.729,4.383,5.982,1.735,2.041,4.433,8.709,9.366,5.500,1.699,3.379,4.871,1.536,0.871,8.546,1.325,9.836,1.791,1.564
2026-02-01,0.593,2.215,6.895,6.904,0.653,1.850,2.687,4.314,5.987,1.707,2.049,4.496,8.957,9.459,5.616,,3.560,4.863,1.508,0.866,8.587,1.323,10.095,1.902,1.498
2026-03-01,0.603,2.204,6.863,6.801,0.657,1.808,2.747,4.258,5.970,1.739,2.033,4.484,8.833,9.608,5.479,1.719,3.607,4.886,1.483,0.847,8.477,1.308,9.610,2.255,1.560
2026-04-01,0.590,2.246,7.056,6.826,0.654,1.869,2.735,4.216,6.029,1.712,2.026,4.699,9.495,9.723,5.405,1.629,3.195,4.903,1.504,0.860,8.983,1.343,9.825,2.689,1.509
2026-05-01,0.574,2.195,7.064,6.712,0.646,1.830,2.814,3.929,5.685,1.786,2.036,4.616,9.607,9.511,5.457,1.964,3.624,4.970,1.542,0.894,8.615,1.374,9.789,2.489,1.537
2026-06-01,0.612,2.196,7.141,6.561,0.645,1.814,,3.816,5.960,1.688,2.044,4.555,9.550,9.457,5.508,2.012,4.021,4.874,1.540,0.923,8.962,1.367,9.844,2.154,1.587
2026-07-01,0.606,2.265,7.116,6.584,0.650,1.820,,3.922,5.741,1.723,2.005,4.573,9.631,9.317,5.492,1.753,3.469,4.817,,0.942,9.155,1.381,10.036,2.003,1.553
2026-08-01,0.603,2.228,7.158,6.605,0.652,1.823,,4.021,5.983,1.670,2.012,4.532,9.448,9.299,5.382,1.471,3.286,,1.709,0.976,8.959,1.374,9.692,1.977,1.584
