year,period,periodName,value,footnotes,date,Core CPI
2021,M01,January,270.387,[{}],2021-01-01,1.3763703714812836
2021,M02,February,270.793,[{}],2021-02-01,1.280248344990098
2021,M03,March,271.459,[{}],2021-03-01,1.6494791315614155
2021,M04,April,273.66,[{}],2021-04-01,2.9780316542864504
2021,M05,May,275.465,[{}],2021-05-01,3.7876961101984907
2021,M06,June,277.651,[{}],2021-06-01,4.439362194328367
2021,M07,July,278.648,[{}],2021-07-01,4.210719214328185
2021,M08,August,278.997,[{}],2021-08-01,3.9396919775577244
2021,M09,September,279.698,[{}],2021-09-01,4.002855729865806
2021,M10,October,281.668,[{}],2021-10-01,4.590317334184912
2021,M11,November,283.406,[{}],2021-11-01,4.972572143965692
2021,M12,December,285.18,[{}],2021-12-01,5.488993530393094
2022,M01,January,286.757,[{}],2022-01-01,6.05428515424189
2022,M02,February,288.273,[{}],2022-02-01,6.4551151617656455
2022,M03,March,289.056,[{}],2022-03-01,6.482378554404167
2022,M04,April,290.514,[{}],2022-04-01,6.158737119052837
2022,M05,May,292.063,[{}],2022-05-01,6.0254478790408905
2022,M06,June,294.05,[{}],2022-06-01,5.906335651591377
2022,M07,July,295.088,[{}],2022-07-01,5.899916740834321
2022,M08,August,296.535,[{}],2022-08-01,6.286089097732228
2022,M09,September,298.226,[{}],2022-09-01,6.624287624509306
2022,M10,October,299.399,[{}],2022-10-01,6.294999786983246
2022,M11,November,300.325,[{}],2022-11-01,5.969880665899807
2022,M12,December,301.394,[{}],2022-12-01,5.685531944736666
2023,M01,January,302.642,[{}],2023-01-01,5.539533472591773
2023,M02,February,304.123,[{}],2023-02-01,5.498260329618088
2023,M03,March,305.147,[{}],2023-03-01,5.566741392671326
2023,M04,April,306.534,[{}],2023-04-01,5.514364195873522
2023,M05,May,307.652,[{}],2023-05-01,5.337547036084689
2023,M06,June,308.322,[{}],2023-06-01,4.853596327155252
2023,M07,July,308.96,[{}],2023-07-01,4.700970557935236
2023,M08,August,309.58,[{}],2023-08-01,4.399143440066089
2023,M09,September,310.539,[{}],2023-09-01,4.128747996485882
2023,M10,October,311.457,[{}],2023-10-01,4.027401561127464
2023,M11,November,312.392,[{}],2023-11-01,4.017980521102138
2023,M12,December,313.195,[{}],2023-12-01,3.9154727698627045
2024,M01,January,314.319,[{}],2024-01-01,3.8583540949372663
2024,M02,February,315.564,[{}],2024-02-01,3.7619647313751337
2024,M03,March,316.792,[{}],2024-03-01,3.8161935067360986
2024,M04,April,317.649,[{}],2024-04-01,3.6260251717590952
2024,M05,May,318.095,[{}],2024-05-01,3.394419668976645
2024,M06,June,318.39,[{}],2024-06-01,3.2654173234475614
2024,M07,July,318.94,[{}],2024-07-01,3.2301916105644812
2024,M08,August,319.75,[{}],2024-08-01,3.2850959364300047
2024,M09,September,320.732,[{}],2024-09-01,3.2823574494668994
2024,M10,October,321.731,[{}],2024-10-01,3.298689706765301
2024,M11,November,322.657,[{}],2024-11-01,3.2859356193500444
2024,M12,December,323.259,[{}],2024-12-01,3.2133335461932644
2025,M01,January,324.638,[{}],2025-01-01,3.282970485398584
2025,M02,February,325.465,[{}],2025-02-01,3.13755688228059
2025,M03,March,325.69,[{}],2025-03-01,2.808783050077035
2025,M04,April,326.467,[{}],2025-04-01,2.7760200724699313
2025,M05,May,326.893,[{}],2025-05-01,2.7658403935930886
2025,M06,June,327.658,[{}],2025-06-01,2.910895442696071
2025,M07,July,328.682,[{}],2025-07-01,3.0544930080893096
2025,M08,August,329.7,[{}],2025-08-01,3.111806098514469
2025,M09,September,330.418,[{}],2025-09-01,3.0199668258857892
2025,M10,October,,"[{'code': 'X', 'text': 'Data unavailable due to the 2025 lapse in appropriations'}]",2025-10-01,
2025,M11,November,331.043,[{}],2025-11-01,2.5990448060944082
2025,M12,December,331.814,[{}],2025-12-01,2.6464847073089937
