year,period,periodName,value,footnotes,date,Food index
2021,M01,January,271.195,[{}],2021-01-01,3.78961548912522
2021,M02,February,271.425,[{}],2021-02-01,3.6123559905635316
2021,M03,March,271.636,[{}],2021-03-01,3.43230955517817
2021,M04,April,272.715,[{}],2021-04-01,2.382025002815613
2021,M05,May,273.932,[{}],2021-05-01,2.1806435248390432
2021,M06,June,275.997,[{}],2021-06-01,2.390624478302983
2021,M07,July,277.813,[{}],2021-07-01,3.4561988887730433
2021,M08,August,279.01,[{}],2021-08-01,3.737772208940471
2021,M09,September,281.366,[{}],2021-09-01,4.5803087238842854
2021,M10,October,283.972,[{}],2021-10-01,5.310157869558263
2021,M11,November,286.151,[{}],2021-11-01,6.12492397157649
2021,M12,December,287.812,[{}],2021-12-01,6.289584572034235
2022,M01,January,290.077,[{}],2022-01-01,6.9625177455336695
2022,M02,February,292.899,[{}],2022-02-01,7.9115777839182
2022,M03,March,295.546,[{}],2022-03-01,8.80222061876923
2022,M04,April,298.339,[{}],2022-04-01,9.395889481693342
2022,M05,May,301.755,[{}],2022-05-01,10.15690025261744
2022,M06,June,304.834,[{}],2022-06-01,10.448301974296825
2022,M07,July,308.193,[{}],2022-07-01,10.935413389582195
2022,M08,August,310.794,[{}],2022-08-01,11.39170639045195
2022,M09,September,312.901,[{}],2022-09-01,11.207821840591969
2022,M10,October,315.038,[{}],2022-10-01,10.939810967278474
2022,M11,November,316.62,[{}],2022-11-01,10.64787472348514
2022,M12,December,317.813,[{}],2022-12-01,10.423818325851597
2023,M01,January,319.3,[{}],2023-01-01,10.074221672176709
2023,M02,February,320.543,[{}],2023-02-01,9.438065681344089
2023,M03,March,320.554,[{}],2023-03-01,8.461626954856438
2023,M04,April,321.213,[{}],2023-04-01,7.667116937443663
2023,M05,May,322.009,[{}],2023-05-01,6.71206773707147
2023,M06,June,322.365,[{}],2023-06-01,5.750998904321691
2023,M07,July,323.201,[{}],2023-07-01,4.86967582002189
2023,M08,August,324.042,[{}],2023-08-01,4.2626305527133646
2023,M09,September,324.379,[{}],2023-09-01,3.668252897881441
2023,M10,October,325.442,[{}],2023-10-01,3.3024587510078085
2023,M11,November,325.93,[{}],2023-11-01,2.9404333270166116
2023,M12,December,326.434,[{}],2023-12-01,2.7126014354353245
2024,M01,January,327.424,[{}],2024-01-01,2.544315690573118
2024,M02,February,327.707,[{}],2024-02-01,2.2349575563964885
2024,M03,March,327.774,[{}],2024-03-01,2.2523506179926045
2024,M04,April,328.449,[{}],2024-04-01,2.2527108180553146
2024,M05,May,328.949,[{}],2024-05-01,2.1552192640578394
2024,M06,June,329.6,[{}],2024-06-01,2.24435034820778
2024,M07,July,330.329,[{}],2024-07-01,2.205438720796038
2024,M08,August,330.748,[{}],2024-08-01,2.0694848198690385
2024,M09,September,331.753,[{}],2024-09-01,2.2732667651111704
2024,M10,October,332.463,[{}],2024-10-01,2.1573736641244956
2024,M11,November,333.629,[{}],2024-11-01,2.362163654772509
2024,M12,December,334.464,[{}],2024-12-01,2.4599153274474927
2025,M01,January,335.441,[{}],2025-01-01,2.44850713448006
2025,M02,February,336.065,[{}],2025-02-01,2.5504490291632376
2025,M03,March,337.331,[{}],2025-03-01,2.9157285202609184
2025,M04,April,337.493,[{}],2025-04-01,2.753547734960371
2025,M05,May,338.474,[{}],2025-05-01,2.895585637895226
2025,M06,June,339.468,[{}],2025-06-01,2.9939320388349566
2025,M07,July,339.891,[{}],2025-07-01,2.8946898395236342
2025,M08,August,341.32,[{}],2025-08-01,3.1963912102265235
2025,M09,September,342.086,[{}],2025-09-01,3.1146666345142293
2025,M10,October,,"[{'code': 'X', 'text': 'Data unavailable due to the 2025 lapse in appropriations'}]",2025-10-01,
2025,M11,November,342.386,[{}],2025-11-01,2.6247718273891163
2025,M12,December,344.632,[{}],2025-12-01,3.0400880214312975
