year_cpi,period_cpi,periodName_cpi,value_cpi,footnotes_cpi,date,CPI,year_core,period_core,periodName_core,value_core,footnotes_core,Core CPI
2021,M01,January,262.687,[{}],2021-01-01,1.3738437137002402,2021,M01,January,270.387,[{}],1.3763703714812836
2021,M02,February,263.579,[{}],2021-02-01,1.6698167791706853,2021,M02,February,270.793,[{}],1.280248344990098
2021,M03,March,264.961,[{}],2021-03-01,2.6678187820641908,2021,M03,March,271.459,[{}],1.6494791315614157
2021,M04,April,266.614,[{}],2021-04-01,4.133077115360573,2021,M04,April,273.66,[{}],2.9780316542864504
2021,M05,May,268.383,[{}],2021-05-01,4.918257089467626,2021,M05,May,275.465,[{}],3.7876961101984903
2021,M06,June,270.654,[{}],2021-06-01,5.295632620349999,2021,M06,June,277.651,[{}],4.439362194328367
2021,M07,July,271.903,[{}],2021-07-01,5.245169381309234,2021,M07,July,278.648,[{}],4.210719214328185
2021,M08,August,272.676,[{}],2021-08-01,5.152015301793966,2021,M08,August,278.997,[{}],3.939691977557725
2021,M09,September,273.91,[{}],2021-09-01,5.351215590949132,2021,M09,September,279.698,[{}],4.002855729865806
2021,M10,October,276.55,[{}],2021-10-01,6.235042390298062,2021,M10,October,281.668,[{}],4.590317334184912
2021,M11,November,278.919,[{}],2021-11-01,6.901970403700863,2021,M11,November,283.406,[{}],4.972572143965692
2021,M12,December,280.845,[{}],2021-12-01,7.174340285065539,2021,M12,December,285.18,[{}],5.488993530393094
2022,M01,January,282.543,[{}],2022-01-01,7.558805726967832,2022,M01,January,286.757,[{}],6.05428515424189
2022,M02,February,284.5,[{}],2022-02-01,7.937278766517819,2022,M02,February,288.273,[{}],6.4551151617656455
2022,M03,March,287.674,[{}],2022-03-01,8.572204966013853,2022,M03,March,289.056,[{}],6.482378554404167
2022,M04,April,288.561,[{}],2022-04-01,8.231750770777225,2022,M04,April,290.514,[{}],6.158737119052837
2022,M05,May,291.298,[{}],2022-05-01,8.538171195642065,2022,M05,May,292.063,[{}],6.0254478790408905
2022,M06,June,294.957,[{}],2022-06-01,8.979361103105798,2022,M06,June,294.05,[{}],5.906335651591377
2022,M07,July,294.913,[{}],2022-07-01,8.462576727730099,2022,M07,July,295.088,[{}],5.899916740834321
2022,M08,August,295.097,[{}],2022-08-01,8.222579178218826,2022,M08,August,296.535,[{}],6.286089097732228
2022,M09,September,296.349,[{}],2022-09-01,8.192106896425821,2022,M09,September,298.226,[{}],6.624287624509306
2022,M10,October,298.007,[{}],2022-10-01,7.758813957693,2022,M10,October,299.399,[{}],6.294999786983246
2022,M11,November,298.786,[{}],2022-11-01,7.122856456533988,2022,M11,November,300.325,[{}],5.969880665899807
2022,M12,December,298.832,[{}],2022-12-01,6.404600402357152,2022,M12,December,301.394,[{}],5.685531944736666
2023,M01,January,300.42,[{}],2023-01-01,6.327178517960097,2023,M01,January,302.642,[{}],5.539533472591773
2023,M02,February,301.45,[{}],2023-02-01,5.957820738137087,2023,M02,February,304.123,[{}],5.498260329618088
2023,M03,March,301.821,[{}],2023-03-01,4.917719362889961,2023,M03,March,305.147,[{}],5.566741392671326
2023,M04,April,302.845,[{}],2023-04-01,4.950079879124369,2023,M04,April,306.534,[{}],5.514364195873522
2023,M05,May,303.334,[{}],2023-05-01,4.131851231385042,2023,M05,May,307.652,[{}],5.337547036084689
2023,M06,June,304.014,[{}],2023-06-01,3.070617072997095,2023,M06,June,308.322,[{}],4.853596327155252
2023,M07,July,304.609,[{}],2023-07-01,3.287749268428297,2023,M07,July,308.96,[{}],4.700970557935236
2023,M08,August,306.082,[{}],2023-08-01,3.722504803505289,2023,M08,August,309.58,[{}],4.399143440066089
2023,M09,September,307.276,[{}],2023-09-01,3.687206638119256,2023,M09,September,310.539,[{}],4.128747996485882
2023,M10,October,307.696,[{}],2023-10-01,3.2512659098611785,2023,M10,October,311.457,[{}],4.027401561127464
2023,M11,November,308.148,[{}],2023-11-01,3.133346274591186,2023,M11,November,312.392,[{}],4.017980521102138
2023,M12,December,308.741,[{}],2023-12-01,3.3159099427102934,2023,M12,December,313.195,[{}],3.915472769862705
2024,M01,January,309.698,[{}],2024-01-01,3.0883429864855705,2024,M01,January,314.319,[{}],3.8583540949372654
2024,M02,February,310.967,[{}],2024-02-01,3.157074141648697,2024,M02,February,315.564,[{}],3.7619647313751337
2024,M03,March,312.345,[{}],2024-03-01,3.4868349120836584,2024,M03,March,316.792,[{}],3.8161935067360986
2024,M04,April,313.023,[{}],2024-04-01,3.3607951262196734,2024,M04,April,317.649,[{}],3.6260251717590952
2024,M05,May,313.175,[{}],2024-05-01,3.244278584003113,2024,M05,May,318.095,[{}],3.394419668976645
